,train_missing_count,train_missing_rate,test_missing_count,test_missing_rate,missing_rate_delta
stress_level,82811,0.12000063759984234,35490,0.11999878276805308,-1.854831789258049e-06
sleep_duration,75999,0.1101294327679948,32571,0.11012906039837296,-3.7236962184550304e-07
sleep_quality,58331,0.0845269009169845,24999,0.08452661511463957,-2.858023449292535e-07
calorie_expenditure,52853,0.07658878287986459,22652,0.07659093906063506,2.1561807704711944e-06
water_intake,43477,0.06300210987584193,18633,0.0630018968531173,-2.1302272462664362e-07
physical_activity_level,36621,0.05306714505976049,15695,0.053067931686238176,7.866264776848486e-07
smoking_alcohol,28582,0.04141790612211776,12249,0.04141631699424858,-1.5891278691768096e-06
gender,21373,0.030971412341614404,9160,0.03097179064962993,3.783080155250751e-07
step_count,13916,0.020165544104520004,5964,0.02016547592078525,-6.818373475547812e-08
bmi,13898,0.020139460474606137,5956,0.020138426321964612,-1.0341526415248714e-06
heart_rate,7833,0.011350726284184046,3357,0.011350687905110008,-3.837907403859975e-08
exercise_duration,6901,0.010000173890866092,2958,0.010001589163930713,1.4152730646206646e-06
diet_type,6901,0.010000173890866092,2958,0.010001589163930713,1.4152730646206646e-06
id,0,0.0,0,0.0,0.0
